类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级,是否新出现
股票,AGIO,43.65,2.61,58.7,1.45,130,⭐ 强买入,否
ETF,LIT,63.77,0.13,63.9,2.43,130,⭐ 强买入,否
股票,CPK,134.58,0.52,55.9,1.36,130,🔥 新强买入,是
股票,XOM,119.29,0.42,64.0,1.24,130,⭐ 强买入,否
股票,SENEA,121.58,1.51,65.0,1.56,130,⭐ 强买入,否
股票,KYMR,64.94,2.06,64.7,1.61,130,⭐ 强买入,否
股票,SONY,30.12,2.31,60.9,1.35,125,⭐ 强买入,否
股票,CME,285.04,0.53,72.8,1.8,125,⭐ 强买入,否
股票,SAFT,77.25,0.56,74.2,1.79,125,⭐ 强买入,否
股票,TPVG,6.01,0.84,61.6,1.24,125,⭐ 强买入,否
股票,ED,101.66,0.7,60.0,1.33,125,⭐ 强买入,否
股票,KRP,13.79,0.88,64.2,1.26,125,⭐ 强买入,否
股票,FRSH,12.11,1.68,64.0,1.53,125,⭐ 强买入,否
股票,HP,27.83,3.15,66.8,1.6,125,⭐ 强买入,否
股票,BIIB,167.55,1.71,74.0,1.46,125,⭐ 强买入,否
股票,L,104.41,0.02,70.4,1.76,125,⭐ 强买入,否
股票,MESA,1.6,3.23,61.6,1.57,125,⭐ 强买入,否
股票,CSCO,78.0,0.8,72.8,1.69,125,⭐ 强买入,否
股票,DHR,221.21,0.0,63.5,1.14,120,⭐ 强买入,否
股票,BBVA,21.19,-1.94,61.8,2.11,120,⭐ 强买入,否
股票,OKE,70.49,1.51,57.7,1.29,120,🔥 新强买入,是
股票,ABBV,232.36,0.03,60.5,0.97,120,⭐ 强买入,否
股票,EPD,32.26,1.57,66.1,1.89,120,⭐ 强买入,否
股票,VLO,181.76,3.4,65.0,1.43,120,⭐ 强买入,否
股票,ACRE,4.93,1.23,59.1,1.22,120,⭐ 强买入,否
股票,TDG,1340.6,1.17,60.0,1.05,120,⭐ 强买入,否
股票,SAN,10.75,-1.65,62.0,1.4,120,⭐ 强买入,否
股票,ABT,130.59,1.03,59.2,1.28,120,⭐ 强买入,否
股票,ALL,214.3,1.49,72.6,1.86,120,⭐ 强买入,否
股票,ACTG,3.67,0.55,58.9,1.18,120,⭐ 强买入,否
股票,CART,41.05,1.79,61.8,1.21,120,⭐ 强买入,否
股票,PMT,12.46,0.4,56.9,0.61,115,⭐ 强买入,否
股票,MPC,199.98,2.78,59.6,0.83,115,⭐ 强买入,否
股票,DOV,183.12,0.63,62.7,0.75,115,⭐ 强买入,否
股票,AXSM,139.69,1.67,64.2,0.74,115,⭐ 强买入,否
股票,CYTK,66.44,1.4,66.8,1.16,115,⭐ 强买入,否
股票,ACAD,24.02,1.61,61.2,0.73,115,⭐ 强买入,否
股票,CZNC,19.6,0.46,55.1,1.11,115,🔥 新强买入,是
股票,PSX,142.32,2.02,64.1,1.09,115,⭐ 强买入,否
股票,AMGN,336.74,0.22,76.1,1.27,115,⭐ 强买入,否
股票,ANIK,9.99,-1.09,59.0,1.84,115,⭐ 强买入,否
ETF,XLE,92.02,1.7,64.9,1.18,115,⭐ 强买入,否
股票,FANG,149.2,3.34,59.6,1.16,115,⭐ 强买入,否
股票,MKL,2060.74,-1.03,64.5,1.56,115,⭐ 强买入,否
股票,APA,24.79,0.41,59.6,0.77,115,⭐ 强买入,否
股票,SBS,26.83,0.98,77.3,1.3,115,⭐ 强买入,否
股票,CLLS,3.9,9.24,58.9,2.85,115,⭐ 强买入,否
股票,CNP,39.74,0.4,58.5,1.14,115,⭐ 强买入,否
股票,CVX,157.62,1.31,57.0,1.12,115,⭐ 强买入,否
股票,QSR,68.68,-2.46,55.9,2.12,115,⭐ 强买入,否
股票,FLNG,26.39,1.34,56.1,1.11,115,⭐ 强买入,否
股票,PH,831.95,-1.19,64.6,1.55,115,⭐ 强买入,否
股票,UPS,95.98,0.01,62.5,0.78,115,⭐ 强买入,否
股票,DE,476.23,0.6,55.6,1.03,115,⭐ 强买入,否
股票,SENEB,121.5,2.38,78.3,2.11,115,⭐ 强买入,否
股票,POR,49.43,-2.0,71.4,1.39,115,⭐ 强买入,否
股票,JNJ,195.93,0.35,69.3,1.17,115,⭐ 强买入,否
股票,SLB,36.94,1.74,58.0,0.72,115,⭐ 强买入,否
股票,MNST,71.31,0.32,61.2,0.88,115,⭐ 强买入,否
股票,MRK,92.92,-0.01,70.5,1.71,115,⭐ 强买入,否
股票,REX,33.23,1.68,58.5,0.7,115,⭐ 强买入,否
股票,KO,71.16,0.13,62.2,0.79,115,⭐ 强买入,否
股票,VAL,57.03,0.83,59.0,0.64,115,⭐ 强买入,否
股票,STC,72.91,0.32,56.3,0.63,110,⭐ 强买入,否
股票,WELL,193.82,1.44,74.6,0.9,110,⭐ 强买入,否
股票,ASND,204.4,-0.99,52.5,2.03,110,⭐ 强买入,否
股票,PAA,16.94,2.29,57.4,1.16,110,🔥 新强买入,是
股票,BYSI,2.09,1.46,57.1,0.29,110,⭐ 强买入,否
股票,IRT,16.56,0.61,55.4,0.85,110,🔥 新强买入,是
股票,ARVN,10.57,4.45,59.3,1.07,110,🔥 新强买入,是
股票,CBIO,13.02,0.31,56.1,0.49,110,⭐ 强买入,否
股票,DG,104.3,0.11,56.3,0.92,110,⭐ 强买入,否
股票,PAGP,17.86,2.0,56.5,0.66,110,🔥 新强买入,是
股票,CERS,1.62,1.25,55.2,0.83,110,🔥 新强买入,是
股票,MKTX,174.97,0.56,60.9,0.89,110,⭐ 强买入,否
股票,NMIH,37.58,0.97,55.2,0.84,110,🔥 新强买入,是
股票,BKH,69.94,-0.51,67.3,1.44,110,⭐ 强买入,否
股票,HLNE,131.25,0.08,58.5,0.74,110,⭐ 强买入,否
股票,FDX,267.56,0.08,68.7,0.96,110,⭐ 强买入,否
股票,NWE,65.11,-0.15,64.9,1.25,110,⭐ 强买入,否
股票,DQ,33.52,5.67,59.2,1.05,110,🔥 新强买入,是
股票,WAFD,30.57,-0.36,59.5,1.2,110,⭐ 强买入,否
股票,MPLX,53.21,2.43,70.2,1.05,110,⭐ 强买入,否
股票,USAC,23.83,1.36,55.8,0.43,110,⭐ 强买入,否
股票,AIZ,228.59,0.68,70.3,1.19,110,⭐ 强买入,否
股票,WES,38.69,0.26,52.1,1.62,110,🔥 新强买入,是
股票,CNA,46.31,0.28,58.2,0.77,110,⭐ 强买入,否
股票,CMI,462.61,-1.04,59.4,1.22,110,⭐ 强买入,否
股票,CTRE,35.88,0.39,55.6,0.53,110,🔥 新强买入,是
股票,CPRX,23.18,0.7,69.3,0.85,110,⭐ 强买入,否
股票,COLB,26.93,0.22,55.8,0.56,110,⭐ 强买入,否
股票,WRB,77.0,0.05,62.6,0.91,110,⭐ 强买入,否
