类别,代码,收盘价,涨跌幅 %,RSI,成交量/均量比,策略评分,评级
股票,KYMR,63.63,0.16,62.1,1.45,100,⭐ 强买入
股票,BSX,104.98,0.82,67.1,1.28,100,⭐ 强买入
股票,GLOB,62.84,1.73,55.9,2.05,100,⭐ 强买入
股票,XOM,118.79,0.57,62.7,1.27,100,⭐ 强买入
股票,TDG,1325.04,1.31,56.4,1.93,100,⭐ 强买入
股票,BIIB,164.73,2.01,71.5,1.74,100,⭐ 强买入
股票,TPVG,5.96,0.17,60.0,1.36,100,⭐ 强买入
股票,ACTG,3.65,0.55,58.1,1.67,100,⭐ 强买入
股票,CME,283.54,1.42,71.4,1.56,100,⭐ 强买入
股票,MSM,89.66,0.25,58.5,1.21,100,⭐ 强买入
股票,IFF,67.43,3.09,65.1,1.43,100,⭐ 强买入
股票,APA,24.69,3.35,59.1,2.45,100,⭐ 强买入
股票,MRK,92.93,1.62,70.6,1.46,100,⭐ 强买入
股票,AFL,115.01,0.35,69.5,1.47,100,⭐ 强买入
股票,ALL,211.16,0.93,69.4,1.31,100,⭐ 强买入
股票,HVT,22.95,0.44,61.5,1.68,100,⭐ 强买入
股票,EPD,31.76,0.6,60.3,1.2,100,⭐ 强买入
股票,UGI,34.96,1.1,71.2,1.73,100,⭐ 强买入
股票,FRSH,11.91,2.32,60.8,1.63,100,⭐ 强买入
股票,PAAS,39.05,1.77,60.8,1.6,100,⭐ 强买入
股票,SJM,110.3,0.43,65.4,1.39,100,⭐ 强买入
ETF,LIT,63.69,2.21,63.7,1.52,100,⭐ 强买入
股票,ATO,177.97,0.08,60.2,1.29,100,⭐ 强买入
股票,CSCO,77.38,4.62,71.5,2.65,100,⭐ 强买入
股票,SAFT,76.82,0.07,73.0,1.22,100,⭐ 强买入
股票,SENEA,119.77,1.28,62.9,1.99,100,⭐ 强买入
股票,TAP,46.88,1.98,56.0,1.44,100,⭐ 强买入
股票,HALO,71.19,0.79,65.1,1.5,100,⭐ 强买入
股票,GILD,125.2,1.46,62.8,1.26,100,⭐ 强买入
股票,SOLV,75.22,1.88,64.2,1.2,100,⭐ 强买入
股票,E,38.08,0.21,69.2,0.51,90,⭐ 强买入
股票,HSIC,73.34,0.69,70.8,0.82,90,⭐ 强买入
股票,PH,841.94,-1.45,69.4,1.39,90,⭐ 强买入
